date,symbol,yahoo_average_projected,yahoo_std_projected,yahoo_analyst_projections_count,yahoo_projections
2026-01-02,COF,18.7,,1,Keefe; Bruyette & Woods:18.7
2026-01-02,SYF,17.1,,1,Keefe; Bruyette & Woods:17.1
2026-01-03,COF,18.7,,1,Keefe; Bruyette & Woods:18.7
2026-01-03,SYF,17.1,,1,Keefe; Bruyette & Woods:17.1
2026-01-03,ULTA,15.5,,1,Argus Research:15.5
2026-01-05,CARR,32,,1,UBS:32
2026-01-05,COF,18.7,,1,Keefe; Bruyette & Woods:18.7
2026-01-05,EL,19.3,,1,Raymond James:19.3
2026-01-05,LII,6.2,,1,UBS:6.2
2026-01-05,ROP,39.6,,1,Jefferies:39.6
2026-01-05,SWK,29.4,,1,UBS:29.4
2026-01-05,SYF,17.1,,1,Keefe; Bruyette & Woods:17.1
2026-01-05,TT,31.5,,1,UBS:31.5
2026-01-05,ULTA,15.5,,1,Argus Research:15.5
2026-01-06,AME,9.3,,1,Mizuho:9.3
2026-01-06,CARR,30.3,2.4042,2,UBS:32|Mizuho:28.6
2026-01-06,CMCSA,58,,1,Benchmark:58
2026-01-06,COF,18.7,,1,Keefe; Bruyette & Woods:18.7
2026-01-06,COP,-2.2,,1,Bernstein:-2.2
2026-01-06,DOV,26.6,,1,UBS:26.6
2026-01-06,DVN,15.1,,1,Bernstein:15.1
2026-01-06,EL,19.3,,1,Raymond James:19.3
2026-01-06,EMR,17.9,,1,UBS:17.9
2026-01-06,EQT,38.4,,1,Bernstein:38.4
2026-01-06,FTV,-4.6,,1,Mizuho:-4.6
2026-01-06,HBAN,11.9,,1,Barclays:11.9
2026-01-06,HUBB,7.9,,1,Mizuho:7.9
2026-01-06,KEY,13.6,,1,Barclays:13.6
2026-01-06,LII,6.2,,1,UBS:6.2
2026-01-06,MCHP,-2.2,,1,Morgan Stanley:-2.2
2026-01-06,ROP,39.6,,1,Jefferies:39.6
2026-01-06,SWK,29.4,,1,UBS:29.4
2026-01-06,SYF,17.1,,1,Keefe; Bruyette & Woods:17.1
2026-01-06,TFC,11.1,,1,Barclays:11.1
2026-01-06,TT,31.5,,1,UBS:31.5
2026-01-06,ULTA,15.5,,1,Argus Research:15.5
2026-01-07,ACGL,6.5,,1,Evercore ISI Group:6.5
2026-01-07,AME,9.3,,1,Mizuho:9.3
2026-01-07,BMY,17.7,,1,UBS:17.7
2026-01-07,CARR,30.3,2.4042,2,UBS:32|Mizuho:28.6
2026-01-07,CLX,-6.7,,1,Goldman Sachs:-6.7
2026-01-07,CMCSA,58,,1,Benchmark:58
2026-01-07,COF,18.7,,1,Keefe; Bruyette & Woods:18.7
2026-01-07,COP,-2.2,,1,Bernstein:-2.2
2026-01-07,DOV,26.6,,1,UBS:26.6
2026-01-07,DVN,15.1,,1,Bernstein:15.1
2026-01-07,EL,19.3,,1,Raymond James:19.3
2026-01-07,EMR,17.9,,1,UBS:17.9
2026-01-07,EQT,38.4,,1,Bernstein:38.4
2026-01-07,FTV,-4.6,,1,Mizuho:-4.6
2026-01-07,HBAN,11.9,,1,Barclays:11.9
2026-01-07,HUBB,7.9,,1,Mizuho:7.9
2026-01-07,KEY,13.6,,1,Barclays:13.6
2026-01-07,LII,6.2,,1,UBS:6.2
2026-01-07,MCD,16.3,,1,Oppenheimer:16.3
2026-01-07,MCHP,3.65,8.2731,2,Morgan Stanley:-2.2|Stifel:9.5
2026-01-07,MU,17.4,,1,Piper Sandler:17.4
2026-01-07,ROP,39.6,,1,Jefferies:39.6
2026-01-07,SWK,29.4,,1,UBS:29.4
2026-01-07,SYF,17.1,,1,Keefe; Bruyette & Woods:17.1
2026-01-07,TFC,11.1,,1,Barclays:11.1
2026-01-07,TT,31.5,,1,UBS:31.5
2026-01-07,UBER,27.6,,1,Wolfe Research:27.6
2026-01-07,ULTA,15.5,,1,Argus Research:15.5
2026-01-07,YUM,18.6,,1,Barclays:18.6
2026-01-08,ACGL,2.1,6.2225,2,Evercore ISI Group:6.5|Goldman Sachs:-2.3
2026-01-08,AMCR,19.8,,1,Baird:19.8
2026-01-08,AME,9.3,,1,Mizuho:9.3
2026-01-08,BDX,35.9,,1,Stifel:35.9
2026-01-08,BMY,17.7,,1,UBS:17.7
