date,symbol,average_projected,std_projected,analyst_projections_count,projections
2026-02-03,AES,7.7,,1,Julien Dumoulin Smith:7.7
2026-02-09,ADBE,8.7,,1,Ben Reitzes:8.7
2026-02-20,AES,31.25,33.3047,2,David Arcaro:54.8|Lilyanna Yang:7.7
2026-02-25,ABBV,-13,,1,Nico Chen:-13
2026-02-25,AFL,1.9,,1,Elyse Greenspan:1.9
2026-03-03,AES,1,,1,Anthony Crowdell:1
2026-03-05,AES,1,,1,Nicholas Amicucci:1
2026-03-12,ADBE,85.1,,1,Bradley Sills:85.1
2026-03-13,ADBE,24.8,,1,Brad Zelnick:24.8
2026-03-19,ACN,37.9,,1,Arun Viswanathan:37.9
2026-03-19,AFL,2.8,,1,Wilma Burdis:2.8
2026-03-20,ACN,51.25,44.3356,2,Jim Kelleher:82.6|Phani Kanumuri:19.9
2026-03-26,A,-7.3,,1,Jack Meehan:-7.3
2026-04-09,ABT,18.6,,1,Unknown Analyst:18.6
2026-04-17,ABT,16.0667,2.829,3,Bruce Jackson:17.7|Rick Wise:17.7|Suraj Kalia:12.8
2026-04-20,ABBV,-0.8,,1,Unknown Analyst:-0.8
2026-04-20,ABT,26.5,19.3747,2,Anthony Petrone:12.8|Matt Miksic:40.2
2026-04-21,ABT,-9.8,,1,Narumi Nakagiri:-9.8
2026-04-28,AMD,-54.5,,1,Ross Seymore:-54.5
2026-04-30,AFL,-5.9,,1,Thomas Gallagher:-5.9
2026-05-01,AOS,23.4,,1,Michael Halloran:23.4
2026-05-04,AMD,-38.1,,1,Frank Lee CFA:-38.1
2026-05-06,AMD,-15.35,8.9803,2,Jay Goldberg:-21.7|Suji Desilva:-9
2026-05-07,AES,7.7,,1,Nicholas Campanella:7.7
2026-05-12,AMD,-9,,1,Louis Miscioscia:-9
2026-05-13,ABBV,-5.4,,1,Jasper Hellweg:-5.4
2026-05-18,AMD,-1.7,,1,Ben Reitzes:-1.7
2026-05-21,AFL,8,,1,Bob Huang:8
2026-05-26,A,-0.3,,1,Catherine Ramsey Schulte:-0.3
2026-05-26,AFL,12.3,,1,John Barnidge:12.3
2026-05-28,A,2.2,,1,Brandon Couillard:2.2
2026-05-29,MMM,12.9,,1,Julian Mitchell:12.9
2026-05-31,ABT,10.8,,1,David Roman:10.8
2026-06-01,A,-13.7,,1,Michael Polark:-13.7
2026-06-03,A,5.4,,1,Sidharth Sahoo:5.4
2026-06-10,AOS,32.2,,1,Bryan Blair:32.2
2026-06-10,MMM,0.7,,1,Joe O'Dea:0.7
2026-06-12,ADBE,17.5875,27.3539,8,Alex Zukin:-24.5|Andrew Sherman:-1.4|Arti Vula:36.8|Egor Tolmachev:0.6|Elizabeth Porter:46.9|Gregg Moskowitz:-1.4|Keith Weiss:46.9|Mark Murphy:36.8
2026-06-15,ACN,0.9,,1,Surinder Thind:0.9
2026-06-16,ACN,19.9,,1,Meha Pau:19.9
2026-06-17,ADBE,34.85,28.4964,2,Dan Bergstrom:14.7|Paul Chew:55
2026-06-17,AMD,9.2,,1,David Dai CFA:9.2
2026-06-18,ACN,0.85,3.8891,2,Amit Daryanani:-1.9|David Koning:3.6
2026-06-19,ACN,-18.2,,1,Keith Bachman:-18.2
2026-06-21,ACN,10.15,17.7484,2,David Grossman:22.7|Tien Tsin Huang:-2.4
2026-06-22,ACN,11.4833,25.0952,6,Arvind Ramnani:-18.2|Dan Dolev:23.2|Daniel Perlin:-4.6|David Paige:-4.6|Kevin Mcveigh:49.9|Sean Kennedy:23.2
