date,symbol,average_projected,std_projected
2026-01-28,AMCR,8.7,
2026-01-28,AMZN,-10.4,
2026-01-28,CCI,40.2,
2026-01-28,EIX,-3.6,
2026-01-28,FISV,-3.1,
2026-01-28,GEHC,56.4,
2026-01-28,GLW,-9.9,
2026-01-28,LRCX,,
2026-01-28,MA,20.3,
2026-01-28,NOC,20,
2026-01-28,NOW,81.1,
2026-01-28,PYPL,-6.9,
2026-01-28,ROP,15.45,18.7383
2026-01-28,SYY,14.2,
2026-01-28,UNH,16.1,
2026-01-28,UPS,24.7,
2026-01-28,V,3.9,
2026-01-28,WEC,14.9,
2026-01-28,WST,-7.6,
2026-01-29,AJG,20.3,
2026-01-29,CHRW,34.2,
2026-01-29,CMCSA,,
2026-01-29,EQT,14.7,
2026-01-29,GLW,,
2026-01-29,GM,14.5,
2026-01-29,LHX,58.8,
2026-01-29,LMT,,
2026-01-29,LUV,38.9,1.8385
2026-01-29,META,38.9,
2026-01-29,PCG,52.2,
2026-01-29,PPG,18.5,
2026-01-29,ROP,13.3,
2026-01-29,T,26.6,
2026-01-29,TSLA,,
2026-01-29,TT,,
2026-01-29,UPS,29.6,
2026-01-29,WM,17.1,
2026-01-30,ARE,11.5,
2026-01-30,AVGO,10.5,
2026-01-30,CAT,-18.1,
2026-01-30,DECK,23.05,13.93
2026-01-30,DLTR,,
2026-01-30,DOV,27,
2026-01-30,DOW,10.2,
2026-01-30,HON,18.6,
2026-01-30,KLAC,879.8,
2026-01-30,KVUE,1.2,
2026-01-30,LMT,32.6,
2026-01-30,MA,16.85,2.4749
2026-01-30,MDT,33,
2026-01-30,RCL,28.4,
2026-01-30,REGN,11.3,
2026-01-30,RMD,33.8,14.2836
2026-01-30,SBUX,,
2026-01-30,SHW,,
2026-01-30,SRE,,
2026-01-30,TT,4,
2026-01-30,V,10.7,0
2026-02-01,TER,5.3,
2026-02-02,ADSK,,
2026-02-02,AJG,16.5,
2026-02-02,AMZN,22.7,
2026-02-02,CHTR,26.9,
2026-02-02,CVX,-5.2,
2026-02-02,DIS,,
2026-02-02,FISV,,
2026-02-02,IP,,
2026-02-02,KLAC,868.8,
2026-02-02,LHX,58.8,
2026-02-02,LII,34.7,
2026-02-02,MA,7.2,
2026-02-02,META,23.5,
2026-02-02,MSFT,9,
2026-02-02,ON,-8.1,
2026-02-02,RVTY,-15.5,
2026-02-02,SNDK,-59.6,
2026-02-02,UNH,2.6,
2026-02-02,V,-0.1,
2026-02-02,VZ,-13.1,
2026-02-02,WDC,-32.9,
2026-02-03,AES,8.2,
2026-02-03,APTV,,
2026-02-03,AXP,-13.8,
2026-02-03,BR,53.2,
2026-02-03,CHTR,61.2,
2026-02-03,COF,29.6,
2026-02-03,DIS,26.7,
2026-02-03,GOOG,19.2,
2026-02-03,IDXX,58.5,
2026-02-03,LMT,26.9,
2026-02-03,PHM,22.6,
2026-02-03,PYPL,-12.5,
2026-02-03,RVTY,-11.5,
2026-02-03,TTWO,26.45,1.6263
2026-02-04,ADM,,
2026-02-04,AMCR,60.7,
2026-02-04,AZO,58.3,
2026-02-04,BALL,17.7,10.6066
2026-02-04,BKNG,,
2026-02-04,CF,-45.9,
2026-02-04,CFG,5,
2026-02-04,CMG,16,
2026-02-04,CTSH,66.7,
2026-02-04,EFX,36.1,
2026-02-04,EMR,12.7,1.4142
2026-02-04,HIG,4.9,
2026-02-04,HUBB,20.25,6.5761
2026-02-04,JKHY,34.1,
2026-02-04,KEY,14.5,
2026-02-04,MPC,-48,
2026-02-04,NXPI,-4.9,
2026-02-04,PRU,-7.7,
2026-02-04,PYPL,,
2026-02-04,TDG,35.8,18.3848
2026-02-04,UBER,39.5,
2026-02-04,VLO,-49.5,
2026-02-04,XOM,-6.6,
2026-02-05,ALGN,44.5,
2026-02-05,BG,6.2,
2026-02-05,BSX,160.6,
2026-02-05,CCI,31.6,10.3238
2026-02-05,COST,21.6,
2026-02-05,CTVA,,
2026-02-05,CVNA,529,
2026-02-05,DOC,,
2026-02-05,FOXA,17.55,1.0607
2026-02-05,FTNT,-23.1,
2026-02-05,FTV,18.9,
2026-02-05,GEHC,33,
2026-02-05,IQV,,
2026-02-05,JKHY,27.2,0
2026-02-05,LHX,70.2,
2026-02-05,ODFL,14,
2026-02-05,ORCL,89.6,
2026-02-05,PSX,-57.6,
2026-02-05,QCOM,9.9,
2026-02-05,RCL,63.4,
2026-02-05,RDDT,61.6,
2026-02-05,YUM,,
2026-02-06,AMGN,6,
2026-02-06,BIIB,-7.4,
2026-02-06,BXP,,
2026-02-06,CAT,-2.3,
2026-02-06,FTNT,-42.3,
2026-02-06,GEN,9.1,
2026-02-06,GWW,-9,
2026-02-06,IQV,-5.45,4.0305
2026-02-06,JCI,8.2,
2026-02-06,MGM,0.3,
2026-02-06,ORLY,27,1.6971
2026-02-06,QCOM,-1.1,
2026-02-06,ROK,-75.5,
2026-02-06,YUM,,
2026-02-09,ADBE,7,
2026-02-09,ALGN,32.6,
2026-02-09,ARES,19.3,
2026-02-09,CI,33.6,
2026-02-09,EMR,1.8,
2026-02-09,HOOD,11,
2026-02-09,IDXX,48.6,
2026-02-09,LNT,14.5,
2026-02-09,MDLZ,,
2026-02-09,MSCI,,
2026-02-09,ORCL,6.5,
2026-02-09,PLTR,7.6,
2026-02-09,PNR,117.4,
2026-02-09,QCOM,9.9,
2026-02-09,RDDT,55.3,
2026-02-09,SWK,,
2026-02-09,VTR,-2.2,
2026-02-09,WEC,18.7,
2026-02-09,XEL,23.2,
2026-02-09,XYZ,-5.3,
2026-02-10,BDX,-2.1667,9.263
2026-02-10,BKNG,24.8,
2026-02-10,DDOG,,
2026-02-10,EL,9.1,
2026-02-10,IBM,50,
2026-02-10,ON,-1.5,
2026-02-10,REG,12.6,
2026-02-10,SBUX,-40.2,
2026-02-10,TER,-13.1,
2026-02-10,UDR,16.7,
2026-02-10,VST,36.8,
2026-02-10,WAT,15.1,
2026-02-10,WST,-14.8,
2026-02-11,CVS,,
2026-02-11,DD,-53.5,
2026-02-11,DDOG,-9.6,
2026-02-11,DGX,-8.5,
2026-02-11,EW,18.5,
2026-02-11,FISV,35.7,
2026-02-11,GILD,0.9,
2026-02-11,HOOD,6.6,
2026-02-11,MAR,1.6,
2026-02-11,MDLZ,5.7,
2026-02-11,MRNA,-91.7,
2026-02-11,TRMB,61.3,
2026-02-11,TTD,,
2026-02-11,YUM,27.8,
2026-02-12,AMAT,,
2026-02-12,AMCR,27.6,
2026-02-12,BAX,-20.2,
2026-02-12,CRWD,115.7,
2026-02-12,ECL,23.1,
2026-02-12,EW,6.7,
2026-02-12,GOOG,3.7,
2026-02-12,HII,43,
2026-02-12,HLT,-3.7,
2026-02-12,ODFL,22.4,
2026-02-12,PFE,-2.6,
2026-02-12,TRMB,37,
2026-02-12,TSLA,50.5,
2026-02-12,VRT,9.3,
2026-02-13,AEP,15.1,
2026-02-13,AMAT,-6.9,
2026-02-13,ANET,-5.8,
2026-02-13,CHD,-3.3,
2026-02-13,CLX,33.3,
2026-02-13,CRM,27.2,
