ticker,exchange
DIS,NYSE
DIS,NYSE
DIS,NYSE
WAB,NYSE
WAB,NYSE
WAB,NYSE
WAT,NYSE
WAT,NYSE
WAT,NYSE
WBD,NASDAQ
WBD,NASDAQ
WBD,NASDAQ
WDAY,NASDAQ
WDAY,NASDAQ
WDAY,NASDAQ
WDC,NASDAQ
WDC,NASDAQ
WDC,NASDAQ
WEC,NYSE
WEC,NYSE
WEC,NYSE
WELL,NYSE
WELL,NYSE
WELL,NYSE
WFC,NYSE
WFC,NYSE
WFC,NYSE
WM,NYSE
WM,NYSE
WM,NYSE
WMB,NYSE
WMB,NYSE
WMB,NYSE
WMT,NASDAQ
WMT,NASDAQ
WMT,NASDAQ
WSM,NYSE
WSM,NYSE
WSM,NYSE
WST,NYSE
WST,NYSE
WST,NYSE
WTW,NASDAQ
WTW,NASDAQ
WTW,NASDAQ
WY,NYSE
WY,NYSE
WY,NYSE
WYNN,NASDAQ
WYNN,NASDAQ
WYNN,NASDAQ
XEL,NASDAQ
XEL,NASDAQ
XEL,NASDAQ
XYL,NYSE
XYL,NYSE
XYL,NYSE
YUM,NYSE
YUM,NYSE
YUM,NYSE
ZBH,NYSE
ZBH,NYSE
ZBH,NYSE
ZBRA,NASDAQ
ZBRA,NASDAQ
ZBRA,NASDAQ
ZTS,NYSE
ZTS,NYSE
ZTS,NYSE
