ticker,exchange
A,NYSE
ABBV,NYSE
ABNB,NASDAQ
ABT,NYSE
ACN,NYSE
ADBE,NASDAQ
AEE,NYSE
AEP,NASDAQ
AES,NYSE
AFL,NYSE
AIG,NYSE
AKAM,NASDAQ
ALB,NYSE
ALGN,NASDAQ
ALL,NYSE
ALLE,NYSE
AMCR,NYSE
AMD,NASDAQ
AMT,NYSE
AMZN,NASDAQ
AOS,NYSE
APD,NYSE
ARE,NYSE
AWK,NYSE
AXP,NYSE
GOOG,NASDAQ
GOOGL,NASDAQ
LNT,NASDAQ
MMM,NYSE
MO,NYSE
AAPL,NASDAQ
ACGL,NASDAQ
ADI,NASDAQ
ADM,NYSE
ADP,NASDAQ
ADSK,NASDAQ
AIZ,NYSE
AJG,NYSE
AMAT,NASDAQ
AME,NYSE
AMGN,NASDAQ
AMP,NYSE
ANET,NYSE
AON,NYSE
APA,NASDAQ
APH,NYSE
APO,NYSE
APP,NASDAQ
APTV,NYSE
ARES,NYSE
ATO,NYSE
AVY,NYSE
AXON,NASDAQ
AZO,NYSE
BAC,NYSE
BALL,NYSE
BAX,NYSE
BDX,NYSE
BKR,NASDAQ
T,NYSE
AVGO,NASDAQ
BA,NYSE
BBY,NYSE
BF.B,NYSE
BG,NYSE
BIIB,NASDAQ
BKNG,NASDAQ
BLDR,NYSE
BLK,NYSE
BMY,NYSE
BNY,NYSE
BR,NYSE
BRK.B,NYSE
BRO,NYSE
BSX,NYSE
BX,NYSE
BXP,NYSE
CAH,NYSE
CARR,NYSE
CASY,NASDAQ
CAT,NYSE
CBOE,BATS
CCL,NYSE
CDNS,NASDAQ
CHRW,NASDAQ
COF,NYSE
CPT,NYSE
CVNA,NYSE
TECH,NASDAQ
XYZ,NYSE
C,NYSE
CB,NYSE
CBRE,NYSE
CDW,NASDAQ
CF,NYSE
CFG,NYSE
CHD,NYSE
CHTR,NASDAQ
CI,NYSE
CIEN,NYSE
CINF,NASDAQ
CL,NYSE
CLX,NYSE
CMCSA,NASDAQ
CME,NASDAQ
CMG,NYSE
CMS,NYSE
CNC,NYSE
CNP,NYSE
COHR,NYSE
COIN,NASDAQ
COR,NYSE
CRL,NYSE
CSCO,NASDAQ
CTAS,NASDAQ
CTSH,NASDAQ
CVX,NYSE
FIX,NYSE
KO,NYSE
SCHW,NYSE
CCI,NYSE
CEG,NASDAQ
CMI,NYSE
COO,NASDAQ
COP,NYSE
COST,NASDAQ
CPAY,NYSE
CPRT,NASDAQ
CRH,NYSE
CRWD,NASDAQ
CSGP,NASDAQ
CSX,NASDAQ
CTVA,NYSE
CVS,NYSE
DAL,NYSE
DDOG,NASDAQ
DE,NYSE
DECK,NYSE
DELL,NYSE
DG,NYSE
DHR,NYSE
DLR,NYSE
DRI,NYSE
DVA,NYSE
DVN,NYSE
DXCM,NASDAQ
ED,NYSE
FANG,NASDAQ
GLW,NYSE
STZ,NYSE
