date,ticker,analyst,percent,projected_price
2025-09-19,PNC,Raymond James,,225
2025-09-22,DHR,B of A Securities,,220
2025-09-22,LEN,Raymond James,,
2025-09-22,MTD,B of A Securities,,1390
2025-09-22,WTW,Raymond James,,400
2025-09-23,LEN,JMP Securities,,140
2025-09-23,LEN,Wedbush,,130
2025-09-23,NEM,Raymond James,,84
2025-09-23,RJF,Citigroup,,180
2025-09-24,AZO,Raymond James,,4800
2025-09-24,CRWD,JMP Securities,,137.5
2025-09-24,LRCX,Keybanc,,
2025-09-25,FCX,Raymond James,,46
2025-09-25,LDOS,Argus Research,,210
2025-09-25,MCK,Deutsche Bank,,856
2025-09-25,RDDT,Baird,,240
2025-09-26,BIIB,Jefferies,,190
2025-09-26,CME,Citigroup,,300
2025-09-26,CTAS,JP Morgan,,230
2025-09-26,SYF,JMP Securities,,88
2025-09-26,XEL,B of A Securities,,84
2025-09-27,DXCM,Baird,,90
2025-09-27,WBD,Keybanc,,
2025-09-29,INTC,Deutsche Bank,,30
2025-09-29,SYF,Morgan Stanley,,82
2025-09-30,AXON,JMP Securities,,825
2025-09-30,BKNG,Mizuho,,239
2025-09-30,BLK,Citigroup,,1350
2025-09-30,CNP,Mizuho,,40
2025-09-30,COST,Argus Research,,1200
2025-09-30,IVZ,Citigroup,,25
2025-09-30,RL,TD Cowen,,399
2025-09-30,TTD,JMP Securities,,60
2025-09-30,WBD,Goldman Sachs,,13
2025-10-01,AXP,"Keefe, Bruyette & Woods",,394
2025-10-01,OKE,Goldman Sachs,,75
2025-10-01,WBD,B of A Securities,,24
2025-10-01,WYNN,Goldman Sachs,,150
2025-10-02,BEN,B of A Securities,,22
2025-10-02,CL,Goldman Sachs,,91
2025-10-02,IVZ,B of A Securities,,25
2025-10-02,KDP,Goldman Sachs,,29
2025-10-02,KVUE,Goldman Sachs,,19
2025-10-02,MCO,Deutsche Bank,,528
2025-10-02,STZ,Goldman Sachs,,168
2025-10-02,TAP,Goldman Sachs,,57
2025-10-02,TROW,B of A Securities,,97
2025-10-03,AMZN,Goldman Sachs,,275
2025-10-04,BEN,BMO Capital,,26
2025-10-04,RDDT,JMP Securities,,300
2025-10-04,WEC,Citigroup,,131
2025-10-06,PKG,Seaport Global,,250
2025-10-07,CBRE,Morgan Stanley,,180
2025-10-07,LMT,Baird,,550
2025-10-07,MTB,Piper Sandler,,225
2025-10-08,CHD,B of A Securities,,105
2025-10-08,CLX,B of A Securities,,125
2025-10-08,NOC,Deutsche Bank,,700
2025-10-09,FE,Citigroup,,53
2025-10-09,FLEX,B of A Securities,,65
2025-10-10,HOOD,JMP Securities,,170
2025-10-10,MCO,RBC Capital,,550
2025-10-10,PNC,Piper Sandler,,220
2025-10-10,TMO,JP Morgan,,650
